Title,Year,Source,DOI,Keyword,Any location CWTS core
A tale of two databases: the use of Web of Science and Scopus in academic papers,2020,Scientometrics,https://doi.org/10.1007/s11192-020-03387-8,Scopus|Web of science|Citation|China|Science Citation Index|Citation database|Citation analysis|Bibliometrics|Scientometrics|Library science|Bibliographic database|Data science|Computer science|World Wide Web|Political science|MEDLINE,True|False
Atypical Combinations and Scientific Impact,2013,Science,https://doi.org/10.1126/science.1240474,Novelty|Work (physics)|Sociology of scientific knowledge|Web of science|Data science|Computer science|Psychology|MEDLINE|Sociology|Social science|Political science|Engineering|Social psychology,True|False
Science of science,2018,Science,https://doi.org/10.1126/science.aao0185,Computational biology|Biology,True|False|False|False|False|False|False
The Extent and Consequences of P-Hacking in Science,2015,PLoS Biology,https://doi.org/10.1371/journal.pbio.1002106,Hacker|Biology|Publication bias|Statistical hypothesis testing|Data science|Statistics|MEDLINE|Computer science|Mathematics|Computer security,True|False|False|False|False|False|False|False|False|False
"Co坼citation analysis, bibliographic coupling, and direct citation: Which citation approach represents the research front most accurately?",2010,Journal of the American Society for Information Science and Technology,https://doi.org/10.1002/asi.21419,Bibliographic coupling|Citation|Computer science|Information retrieval|Co-citation|Similarity (geometry)|Cluster (spacecraft)|Biomedicine|Citation analysis|Coupling (piping)|Coherence (philosophical gambling strategy)|Bibliographic database|Divergence (linguistics)|Data mining|Data science|Artificial intelligence|Statistics|Bioinformatics|Mathematics|Library science|Linguistics|Image (mathematics)|Biology,any location CWTS core
"The Matthew Effect in Science, II: Cumulative Advantage and the Symbolism of Intellectual Property",1988,Isis,https://doi.org/10.1086/354848,Intellectual property|Property (philosophy)|Cumulative effects|Law and economics|Economics|Sociology|Epistemology|Philosophy|Political science|Law,any location CWTS core
Nepotism and sexism in peer-review,1997,Nature,https://doi.org/10.1038/387341a0,Prejudice (legal term)|Secrecy|Nepotism|Peer review|Psychology|Political science|Social psychology|Law,True|False|False|False
A review of the literature on citation impact indicators,2016,Journal of Informetrics,https://doi.org/10.1016/j.joi.2016.02.007,Citation impact|Citation|Scopus|Computer science|Web of science|Normalization (sociology)|Impact factor|Citation analysis|Bibliometrics|Data science|Information retrieval|Library science|Political science|Sociology|Social science|MEDLINE,True|False|False
PUBLICATION RECORDS AND TENURE DECISIONS IN THE FIELD OF STRATEGIC MANAGEMENT,1996,Strategic Management Journal,https://doi.org/10.1002/(sici)1097-0266(199602)17:2<109::aid-smj796>3.0.co;2-p,Field (mathematics)|Business|Strategic management|Industrial organization|Marketing|Operations management|Economics,any location CWTS core
"Visualizing a discipline: An author co坼citation analysis of information science, 1972每1995",1998,Journal of the American Society for Information Science,https://doi.org/10.1002/(sici)1097-4571(19980401)49:4<327::aid-asi4>3.0.co;2-w,Citation|Co-citation|Data science|Information retrieval|Citation analysis|Computer science|Library science,True|
Web of Science as a data source for research on scientific and scholarly activity,2020,Quantitative Science Studies,https://doi.org/10.1162/qss_a_00018,Web of science|Data science|Science Citation Index|Citation|Raw data|World Wide Web|Computer science|Bibliometrics|Library science|Political science|MEDLINE,True|False|False
Negative results are disappearing from most disciplines and countries,2011,Scientometrics,https://doi.org/10.1007/s11192-011-0494-7,Objectivity (philosophy)|Competition (biology)|Political science|Psychology|Social science|Positive economics|Sociology|Economics|Epistemology,True||False
The state of OA: a large-scale analysis of the prevalence and impact of Open Access articles,2018,PeerJ,https://doi.org/10.7717/peerj.4375,Citation|License|Scholarly communication|Web of science|Bibliometrics|Open science|Computer science|World Wide Web|Citation analysis|Medicine|Library science|Political science|Meta-analysis|Internal medicine|Statistics|Mathematics,True|False|False|False|False|False|False|False|False|False|False
"Citations, Citation Indicators, and Research Quality: An Overview of Basic Concepts and Theories",2019,SAGE Open,https://doi.org/10.1177/2158244019829575,Originality|Citation|Quality (philosophy)|Relevance (law)|Value (mathematics)|Soundness|Scientometrics|Interpretation (philosophy)|Management science|Psychology|Data science|Positive economics|Sociology|Computer science|Political science|Social science|Epistemology|Economics|Qualitative research,True|False|False|False|False|False|False
Author cocitation: A literature measure of intellectual structure,1981,Journal of the American Society for Information Science,https://doi.org/10.1002/asi.4630320302,Centrality|Subject (documents)|Set (abstract data type)|Co-citation|Raw data|Social Sciences Citation Index|Interpretation (philosophy)|Social network analysis|Citation|Data science|Information retrieval|Sociology|Computer science|Social science|Library science|Science Citation Index|Statistics|Mathematics,any location CWTS core
"Absorptive Capacity, Coauthoring Behavior, and the Organization of Research in Drug Discovery",1998,Journal of Industrial Economics,https://doi.org/10.1111/1467-6451.00067,Social connectedness|Incentive|Absorptive capacity|Business|Productivity|Scientific discovery|Upstream (networking)|Drug discovery|Basic research|Industrial organization|Economics|Computer science|Library science|Economic growth|Psychology,any location CWTS core
Journal of American Science,2015,ADVANCED SCIENCES INDEX,,Natural (archaeology)|Natural science|Engineering ethics|Sociology|Library science|Political science|Epistemology|History|Computer science|Engineering|Philosophy,not any location CWTS core
Scholarly communication and bibliometrics,2002,Annual Review of Information Science and Technology,https://doi.org/10.1002/aris.1440360102,Bibliometrics|Scholarly communication|Citation|Library science|Sociology|Computer science|Publishing|Political science|Law,True|
"Peer-review practices of psychological journals: The fate of published articles, submitted again",1982,Behavioral and Brain Sciences,https://doi.org/10.1017/s0140525x00011183,Competence (human resources)|Psychology|Peer review|Accountability|Medical education|Social psychology|Political science|Medicine|Law,any location CWTS core
Performance-based university research funding systems,2011,Research Policy,https://doi.org/10.1016/j.respol.2011.09.007,Compromise|Excellence|Incentive|Transparency (behavior)|Public relations|Equity (law)|Scholarship|Competition (biology)|Prestige|Public sector|Business|Political science|Marketing|Sociology|Economics|Economic growth,True||False
Literature reviews as independent studies: guidelines for academic practice,2022,Review of Managerial Science,https://doi.org/10.1007/s11846-022-00588-8,Confusion|Systematic review|Epistemology|Engineering ethics|Computer science|Management science|Philosophy of science|Data science|MEDLINE|Psychology|Political science|Philosophy|Engineering,True|False|False|False|False|True
Bibliometrics: Methods for studying academic publishing,2021,Perspectives on Medical Education,https://doi.org/10.1007/s40037-021-00695-4,Bibliometrics|Terminology|Publishing|Data science|Strengths and weaknesses|Population health|Computer science|Population|Library science|Medicine|Psychology|Political science,True|False|False|False
Bias in peer review,2012,Journal of the American Society for Information Science and Technology,https://doi.org/10.1002/asi.22784,Normative|Status quo bias|Legitimacy|Status quo|Peer review|Function (biology)|Scope (computer science)|Empirical research|Implicit bias|Positive economics|Psychology|Epistemology|Social psychology|Sociology|Political science|Computer science|Law,True|False
Mapping authors in intellectual space: A technical overview,1990,Journal of the American Society for Information Science,https://doi.org/10.1002/(sici)1097-4571(199009)41:6<433::aid-asi11>3.0.co;2-q,Library science|Citation|Space (punctuation)|Sociology|Computer science,any location CWTS core
"Google Scholar, Microsoft Academic, Scopus, Dimensions, Web of Science, and OpenCitations＊ COCI: a multidisciplinary comparison of coverage via citations",2020,Scientometrics,https://doi.org/10.1007/s11192-020-03690-4,Scopus|Subject (documents)|Citation|Web of science|Webometrics|Microsoft excel|Bibliometrics|Multidisciplinary approach,True|False|False|False|False|False|False|False
A review of theory and practice in scientometrics,2015,European Journal of Operational Research,https://doi.org/10.1016/j.ejor.2015.04.002,Scientometrics|Citation|Bibliometrics|Citation analysis|Citation impact|Data science|Computer science|Library science,True|False|False|False|False|False|False
Impact of data sources on citation counts and rankings of LIS faculty: Web of science versus scopus and google scholar,2007,Journal of the American Society for Information Science and Technology,https://doi.org/10.1002/asi.20677,Scopus|Citation|Web of science|Citation impact|Library science|Computer science|Ranking (information retrieval)|Citation analysis|Citation database|Point (geometry)|Information retrieval|Impact factor|World Wide Web|Data science|Political science|MEDLINE|Mathematics,any location CWTS core
The rate of growth in scientific publication and the decline in coverage provided by Science Citation Index,2010,Scientometrics,https://doi.org/10.1007/s11192-010-0202-z,Science Citation Index|Citation|Index (typography)|Citation index|Publishing|Bibliometrics|Impact factor|Scientometrics|Library science|Social Sciences Citation Index|Productivity|Scientific literature|Price index|Big data|Data science|Computer science|Political science|World Wide Web|Mathematics|Econometrics|Economics|Biology|Data mining|Law,True|False|False|False
Does the h index have predictive power?,2007,Proceedings of the National Academy of Sciences,https://doi.org/10.1073/pnas.0707962104,Predictive power|Index (typography)|Statistics|Citation|Econometrics|Psychology|Mathematics|Computer science|Library science,True|False|False|False
Mapping the backbone of science,2005,Scientometrics,https://doi.org/10.1007/s11192-005-0255-6,Citation|Computer science|Similarity (geometry)|Cluster analysis|Data science|Information retrieval|Graph|Citation analysis|Data mining|Theoretical computer science|Artificial intelligence|Library science|Image (mathematics),True||False
The American Association for the Advancement of Science,1889,Nature,https://doi.org/10.1038/040556a0,Association (psychology)|History|Demography|Library science|Geography|Sociology|Psychology,any location CWTS core
Factors affecting number of citations: a comprehensive review of the literature,2016,Scientometrics,https://doi.org/10.1007/s11192-016-1889-2,Computer science|Information retrieval|Data science,True|False
Do Altmetrics Work? Twitter and Ten Other Social Web Services,2013,PLoS ONE,https://doi.org/10.1371/journal.pone.0064841,Altmetrics|Citation|Social media|Metric (unit)|Bibliometrics|Mainstream|Computer science|Data science|World Wide Web|Political science|Engineering,True|False|False|False|False|False|False|False
Is citation analysis a legitimate evaluation tool?,1979,Scientometrics,https://doi.org/10.1007/bf02019306,Citation|Objectivity (philosophy)|Citation analysis|Computer science|Criticism|Epistemology|Data science|Political science|Library science|Law|Philosophy,any location CWTS core
Bibliometric studies of research collaboration: A review,1983,Journal of Information Science,https://doi.org/10.1177/016555158300600105,Productivity|Knowledge management|Bibliometrics|Data science|Computer science|Library science,True|
Quantifying Long-Term Scientific Impact,2013,Science,https://doi.org/10.1126/science.1237825,Term (time)|Environmental science|Physics,True|False|False
Bibliometric Methods: Pitfalls and Possibilities,2005,Basic & Clinical Pharmacology & Toxicology,https://doi.org/10.1111/j.1742-7843.2005.pto_139.x,Normalization (sociology)|Bibliometrics|Computer science|Data science|Management science|Data mining|Engineering|Sociology|Social science,True|False|False
Papers and patents are becoming less disruptive over time,2023,Nature,https://doi.org/10.1038/s41586-022-05543-x,Citation|Data science|Scale (ratio)|Field (mathematics)|Technological change|Computer science|Geography|Mathematics|Artificial intelligence|Library science|Cartography,True|False|False
Bibliometric cartography of information retrieval research by using co-word analysis,2001,Information Processing & Management,https://doi.org/10.1016/s0306-4573(00)00051-0,Field (mathematics)|Vocabulary|Information retrieval|Period (music)|Citation index|Computer science|Information science|TRACE (psycholinguistics)|Citation analysis|Index (typography)|Bibliometrics|Citation|Library science|Data science|Linguistics|World Wide Web|Mathematics,True|False
Bibliometric Indicators: Quality Measurements of Scientific Publication,2010,Radiology,https://doi.org/10.1148/radiol.09090626,Bibliometrics|Measure (data warehouse)|Quality (philosophy)|Productivity|Data science|Scientometrics|Set (abstract data type)|Management science|Medicine|Computer science|Library science|Data mining|Economics,True|False|False
A new approach to the metric of journals＊ scientific prestige: The SJR indicator,2010,Journal of Informetrics,https://doi.org/10.1016/j.joi.2010.03.002,Impact factor|Scopus|Prestige|Weighting|Ranking (information retrieval)|Metric (unit)|Computer science|Citation|Rank (graph theory)|Citation impact|Information retrieval|Statistics|Mathematics|Political science|Library science|MEDLINE|Business|Combinatorics|Marketing|Medicine,True|False
"h-Index: A review focused in its variants, computation and standardization for different scientific fields",2009,Journal of Informetrics,https://doi.org/10.1016/j.joi.2009.04.001,Standardization|Scopus|Index (typography)|Computer science|Computation|Field (mathematics)|Citation|Bibliometrics|Data science|Information retrieval|Data mining|Science Citation Index|Mathematics|Library science|World Wide Web|Algorithm|MEDLINE|Political science,True|False|False|False|False
How open science helps researchers succeed,2016,eLife,https://doi.org/10.7554/elife.16800,Open science|Popularity|Scholarship|Open data|Work (physics)|Public relations|Open source|Best practice|Open research|Affect (linguistics)|Business|Political science|Knowledge management|Data science|Psychology|Computer science|World Wide Web|Engineering,True|False|False|False|False|False|False|False
"Large-scale comparison of bibliographic data sources: Scopus, Web of Science, Dimensions, Crossref, and Microsoft Academic",2021,Quantitative Science Studies,https://doi.org/10.1162/qss_a_00112,Scopus|Web of science|Computer science|Citation|Information retrieval|Pairwise comparison|Scale (ratio)|Data science|Multidisciplinary approach|Strengths and weaknesses|Document type definition|Completeness (order theory)|World Wide Web|MEDLINE|Mathematics|Geography|Psychology,True|False|False|False
Universality of citation distributions: Toward an objective measure of scientific impact,2008,Proceedings of the National Academy of Sciences,https://doi.org/10.1073/pnas.0806977105,Citation|Universality (dynamical systems)|Generalization|Statistics|Informetrics|Citation impact|Mathematics|Econometrics|Bibliometrics|Statistical physics|Computer science|Data mining|Physics|Library science,True|False|False|False
Citation Advantage of Open Access Articles,2006,PLoS Biology,https://doi.org/10.1371/journal.pbio.0040157,Citation|Confidence interval|Confounding|Logistic regression|Bibliometrics|Demography|Relative risk|Medicine|Library science|Internal medicine|Computer science,True|False|False|False|False
＆Predatory＊ open access: a longitudinal study of article volumes and market characteristics,2015,BMC Medicine,https://doi.org/10.1186/s12916-015-0469-2,Publishing|Publicity|Subject (documents)|Order (exchange)|Library science|Medicine|Advertising|Marketing|Political science|Economics|Law|Computer science|Business,True|False|False|False|False|False
Psychological and Traditional Determinants of Structure,1986,Administrative Science Quarterly,https://doi.org/10.2307/2392963,Psychology|Economic geography|Sociology|Social psychology|Cognitive psychology|Political science|Economics,any location CWTS core
Do Pressures to Publish Increase Scientists' Bias? An Empirical Support from US States Data,2010,PLoS ONE,https://doi.org/10.1371/journal.pone.0010271,Publication|Publication bias|MEDLINE|Data science|Computer science|Biology|Political science,True|False|False|False|False|False|False
Comparing bibliometric statistics obtained from the Web of Science and Scopus,2009,Journal of the American Society for Information Science and Technology,https://doi.org/10.1002/asi.21062,Scopus|Web of science|Comparability|Bibliometrics|Citation|Citation impact|Library science|Computer science|Impact factor|Database|Information retrieval|Data science|Statistics|Political science|Mathematics|MEDLINE,True|False|False||False|False|False
DOCUMENTATION NOTES,1969,Journal of Documentation,https://doi.org/10.1108/eb026482,Documentation|Ranking (information retrieval)|Library science|Information retrieval|History|Computer science,any location CWTS core
Problems of citation analysis: A critical review,1989,Journal of the American Society for Information Science,https://doi.org/10.1002/(sici)1097-4571(198909)40:5<342::aid-asi7>3.0.co;2-u,Citation|Citation analysis|Operations research|Computer science|Data science|Library science|Engineering,any location CWTS core
"Multi-University Research Teams: Shifting Impact, Geography, and Stratification in Science",2008,Science,https://doi.org/10.1126/science.1158357,Stratification (seeds)|Elite|Teamwork|Knowledge production|Science and engineering|Social stratification|Sociology|Library science|Social science|Engineering ethics|Political science|Engineering|Biology|Knowledge management|Computer science,True|False
Bibliometric monitoring of research performance in the Social Sciences and the Humanities: A Review,2006,Scientometrics,https://doi.org/10.1007/s11192-006-0007-2,Citation|Citation analysis|Bibliometrics|Social science|Library science|Sociology|Data science|Humanities|Computer science|Art,True|False
Is science becoming more interdisciplinary? Measuring and mapping six research fields over time,2009,Scientometrics,https://doi.org/10.1007/s11192-008-2197-2,AKA|Discipline|Diversity (politics)|Data science|Scientometrics|Visualization|Bibliometrics|Index (typography)|Sociology|Social science|Computer science|Library science|Data mining|Anthropology|World Wide Web,True|False
Collaboration in an invisible college.,1966,American Psychologist,https://doi.org/10.1037/h0024051,Psychology|Medical education|Psychoanalysis|Medicine,True|False
Approaches to understanding and measuring interdisciplinary scientific research (IDR): A review of the literature,2010,Journal of Informetrics,https://doi.org/10.1016/j.joi.2010.06.004,Scope (computer science)|Computer science|Data science|Bibliometrics|Process (computing)|Centrality|Management science|Betweenness centrality|Knowledge management|Process management|Business|Data mining,True|False|False
Re-thinking new knowledge production: A literature review and a research agenda,2008,Research Policy,https://doi.org/10.1016/j.respol.2008.01.008,Production (economics)|Knowledge production|Reflection (computer programming)|Epistemology|Mode (computer interface)|Sociology|Sociology of scientific knowledge|Psychology|Management science|Computer science|Knowledge management|Economics|Philosophy|Microeconomics,True|False|False|False
Fatal attraction: Conceptual and methodological problems in the ranking of universities by bibliometric methods,2005,Scientometrics,https://doi.org/10.1007/s11192-005-0008-6,Scientometrics|Ranking (information retrieval)|Bibliometrics|Strengths and weaknesses|Regional science|Sociology|Political science|Operations research|Epistemology|Computer science|Social science|Library science|Mathematics|Philosophy|Information retrieval,True|False
The Development of Open Access Journal Publishing from 1993 to 2009,2011,PLoS ONE,https://doi.org/10.1371/journal.pone.0020961,Publishing|Directory|Library science|The Internet|Computer science|World Wide Web|Political science,True|False|False|False|False|False
※Positive§ Results Increase Down the Hierarchy of the Sciences,2010,PLoS ONE,https://doi.org/10.1371/journal.pone.0010068,Hierarchy|Biology|Political science,True|False|False||False|False|False
"Three options for citation tracking: Google Scholar, Scopus and Web of Science",2006,Biomedical Digital Libraries,https://doi.org/10.1186/1742-5581-3-7,Citation|Scopus|Web of science|Citation analysis|Impact factor|Library science|Computer science|World Wide Web|Psychology|Data science|Medicine|MEDLINE|Meta-analysis|Internal medicine|Political science,True|False|False|False
An introduction to informetrics,1992,Information Processing & Management,https://doi.org/10.1016/0306-4573(92)90087-g,Informetrics|Scientometrics|Bibliometrics|Scope (computer science)|Field (mathematics)|Data science|Computer science|Information retrieval|Library science|Mathematics,any location CWTS core
British Association for the Advancement of Science,1960,Science,https://doi.org/10.1126/science.132.3433.1023,Association (psychology)|Philosophy|Epistemology,True|False
"Which h-index? 〞 A comparison of WoS, Scopus and Google Scholar",2007,Scientometrics,https://doi.org/10.1007/s11192-008-0216-y,Scopus|Web of science|Index (typography)|Information retrieval|Bibliometrics|Scientometrics|World Wide Web|Computer science|Library science|Data science|Political science|MEDLINE,True|False
"Web of Science use in published research and review papers 1997每2017: a selective, dynamic, cross-domain, content-based analysis",2017,Scientometrics,https://doi.org/10.1007/s11192-017-2622-5,Citation|Data science|Computer science|Web of science|Documentation|Analytics|Scientometrics|Bibliometrics|Citation analysis|World Wide Web|Information retrieval|MEDLINE,True|False|False|False
Do ※altmetrics§ correlate with citations? Extensive comparison of altmetric indicators with citations from a multidisciplinary perspective,2014,Journal of the Association for Information Science and Technology,https://doi.org/10.1002/asi.23309,Altmetrics|Perspective (graphical)|Multidisciplinary approach|Bibliometrics|Citation|Computer science|Psychology|Data science|Library science|Sociology|Social science|Artificial intelligence,True|False|False|False|False|False|False|False|False
"Predatory journals: no definition, no defence",2019,Nature,https://doi.org/10.1038/d41586-019-03759-y,Scholarship|Publishing|Political science|Library science|Law|Computer science,True|False|False|False|False|False|False
National characteristics in international scientific co-authorship relations,2001,Scientometrics,https://doi.org/10.1023/a:1010512628145,Citation|Elaboration|Citation impact|Scientometrics|Regional science|Political science|Sociology|Computer science|Library science|Humanities|Philosophy,True|False|False
Comparing alternatives to the Web of Science for coverage of the social sciences＊ literature,2007,Journal of Informetrics,https://doi.org/10.1016/j.joi.2006.12.001,Scopus|Web of science|Citation|Computer science|Citation database|World Wide Web|Information retrieval|Data science|MEDLINE|Political science,True|False
The skewness of science,1992,Journal of the American Society for Information Science,https://doi.org/10.1002/(sici)1097-4571(199210)43:9<628::aid-asi5>3.0.co;2-0,Skewness|Distribution (mathematics)|Probability distribution|Field (mathematics)|Hierarchy|Econometrics|Statistics|Mathematics|Political science|Law,any location CWTS core
How to design bibliometric research: an overview and a framework proposal,2024,Review of Managerial Science,https://doi.org/10.1007/s11846-024-00738-0,Bibliometrics|Computer science|Field (mathematics)|Management science|Data science|Data mining|Engineering|Mathematics,True|False|False
Some Results on the Function and Quality of Citations,1975,Social Studies of Science,https://doi.org/10.1177/030631277500500106,Quality (philosophy)|Function (biology)|Epistemology|Sociology|Philosophy|Biology,any location CWTS core
Google Scholar to overshadow them all? Comparing the sizes of 12 academic search engines and bibliographic databases,2018,Scientometrics,https://doi.org/10.1007/s11192-018-2958-5,Computer science|Information retrieval|Database|Scope (computer science)|Search engine|Data science,True|False|False
Do Open-Access Articles Have a Greater Research Impact?,2004,College & Research Libraries,https://doi.org/10.5860/crl.65.5.372,The Internet|Computer science|World Wide Web|Work (physics)|Open science|Data science|Engineering|Mathematics,True|False|False|False
Google Scholar as a new source for citation analysis,2007,Ethics in Science and Environmental Politics,https://doi.org/10.3354/esep00076,Citation|Impact factor|Library science|Publishing|Bibliometrics|RSS|Web of science|Citation impact|Citation analysis|Index (typography)|Computer science|Political science|World Wide Web|Law|MEDLINE,any location CWTS core
Comparing keywords plus of WOS and author keywords: A case study of patient adherence research,2015,Journal of the Association for Information Science and Technology,https://doi.org/10.1002/asi.23437,Computer science|Web of science|Information retrieval|Scientific literature|Field (mathematics)|MEDLINE|Mathematics|Chemistry,True|False
Incentives and creativity: evidence from the academic life sciences,2011,The RAND Journal of Economics,https://doi.org/10.1111/j.1756-2171.2011.00140.x,Creativity|Incentive|Political science|Weighting|Psychology|Economics|Law|Medicine,True|False|False
The World Factbook,2017,The Charleston Advisor,https://doi.org/10.5260/chara.19.1.58,Geology|Business,not any location CWTS core
What do we know about the h index?,2007,Journal of the American Society for Information Science and Technology,https://doi.org/10.1002/asi.20609,Index (typography)|Computer science|Simple (philosophy)|Representation (politics)|Information retrieval|Data science|Epistemology|Political science|Philosophy|Law|World Wide Web,any location CWTS core
Diversity and network coherence as indicators of interdisciplinarity: case studies in bionanoscience,2009,Scientometrics,https://doi.org/10.1007/s11192-009-0041-y,Coherence (philosophical gambling strategy)|Novelty|Data science|Diversity (politics)|Set (abstract data type)|Similarity (geometry)|Scientometrics|Computer science|Discipline|Multidimensional scaling|Knowledge base|Epistemology|Sociology|Social science|Artificial intelligence|Psychology|Mathematics|Machine learning,True|False|False
